Filename,Lines,Line Samples,Bands,First Band (µm),Last Band (µm),Possible Elements
v1470592490_1.lbl,54,60,352,0.36,0.42,
v1472675269_1.lbl,54,60,352,0.36,0.42,
v1477867370_1.lbl,32,32,352,0.36,0.42,
v1481213372_3.lbl,64,64,352,0.36,0.42,
v1481624349_1.lbl,12,24,352,0.36,0.42,
v1512243807_1.lbl,64,64,352,0.35895,0.3879,
v1486553706_1.lbl,64,64,352,0.36,0.42,
v1472724707_1.lbl,54,60,352,0.36,0.42,
v1485790886_1.lbl,12,12,352,0.36,0.42,
v1479858322_1.lbl,64,64,352,0.36,0.42,
v1511977375_1.lbl,16,12,352,0.35895,0.3879,
v1512104477_1.lbl,12,32,352,0.35895,0.3879,
v1477468808_1.lbl,64,64,352,0.36,0.42,
v1513891043_1.lbl,12,24,352,0.35895,0.3879,
v1513886045_1.lbl,12,24,352,0.35895,0.3879,
v1512065108_1.lbl,12,32,352,0.35895,0.3879,
v1481721336_1.lbl,48,32,352,0.36,0.42,
v1512346452_1.lbl,32,64,352,0.35895,0.3879,
v1511989704_1.lbl,16,12,352,0.35895,0.3879,
v1514186717_1.lbl,64,64,352,0.35895,0.3879,
v1467467238_1.lbl,30,42,352,0.36,0.42,
v1471938708_1.lbl,54,60,352,0.36,0.42,
v1476215249_1.lbl,24,24,352,0.36,0.42,
v1487115410_1.lbl,48,64,352,0.36,0.42,
v1474007113_1.lbl,60,48,352,0.36,0.42,
v1473969733_1.lbl,60,48,352,0.36,0.42,
v1512099961_1.lbl,12,32,352,0.35895,0.3879,
v1511990652_1.lbl,16,12,352,0.35895,0.3879,
v1467437627_1.lbl,30,30,352,0.36,0.42,
v1514575565_1.lbl,16,12,352,0.35895,0.3879,
v1476316726_1.lbl,54,54,352,0.36,0.42,
v1512349547_1.lbl,24,64,352,0.35895,0.3879,
v1472786227_1.lbl,54,60,352,0.36,0.42,
v1470983445_1.lbl,54,60,352,0.36,0.42,
