Filename,Lines,Samples,Bands,First_Band,Last_Band,Confidence
v1871434567_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433871_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434522_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435567_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435522_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435666_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434908_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434013_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435487_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433602_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433647_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434786_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433848_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435273_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435236_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434236_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435137_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434172_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434137_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435393_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434393_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435092_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435443_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433955_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434443_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433582_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434092_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871506610_1.lbl,16,24,352,0.35,5.102,0.0654930209913
v1871433968_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434316_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434353_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435316_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435353_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871440807_1.lbl,30,64,352,0.35,5.102,0.0654930209913
v1871433995_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434483_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434052_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434811_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435017_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435052_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434662_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434627_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435627_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433888_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871489390_1.lbl,40,22,352,0.35,5.102,0.0654930209913
v1871442108_3.lbl,30,64,352,0.35,5.102,0.0654930209913
v1871433622_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433667_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434547_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433814_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433851_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434502_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434990_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435196_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435547_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435502_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871499172_1.lbl,62,54,352,0.35,5.102,0.0654930209913
